fn,shape,angle,sigmaT,albedo,phaseHG
armadillo_e0_d276_a0.74_g0.2_q4096.exr,armadillo,0,276,0.74,0.2
star_smooth_e90_d30_a0.95_g0.6_q4096.exr,star_smooth,90,30,0.95,0.6
bun_e0_d67_a0.95_g0.6_q4096.exr,bun,0,67,0.95,0.6
buddha_e0_d150_a0.74_g0.6_q4096.exr,buddha,0,150,0.74,0.6
buddha_e90_d100_a0.95_g0.2_q4096.exr,buddha,90,100,0.95,0.2
buddha_e60_d225_a0.87_g0.4_q4096.exr,buddha,60,225,0.87,0.4
star_smooth_e90_d122_a0.39_g0.4_q4096.exr,star_smooth,90,122,0.39,0.4
dragon_e30_d150_a0.87_g0.0_q4096.exr,dragon,30,150,0.87,0.0
bun_e0_d276_a0.59_g0.4_q4096.exr,bun,0,276,0.59,0.4
bun_e60_d100_a0.74_g0.6_q4096.exr,bun,60,100,0.74,0.6
armadillo_e60_d67_a0.59_g0.6_q4096.exr,armadillo,60,67,0.59,0.6
bun_e30_d44_a0.74_g0.8_q4096.exr,bun,30,44,0.74,0.8
cube_e90_d184_a0.59_g0.4_q4096.exr,cube,90,184,0.59,0.4
bun_e30_d225_a0.74_g0.2_q4096.exr,bun,30,225,0.74,0.2
armadillo_e90_d30_a0.39_g0.4_q4096.exr,armadillo,90,30,0.39,0.4
armadillo_e60_d36_a0.95_g0.8_q4096.exr,armadillo,60,36,0.95,0.8
dragon_e0_d100_a0.74_g0.2_q4096.exr,dragon,0,100,0.74,0.2
dragon_e0_d276_a0.59_g0.2_q4096.exr,dragon,0,276,0.59,0.2
bun_e0_d150_a0.39_g0.8_q4096.exr,bun,0,150,0.39,0.8
bun_e90_d184_a0.87_g0.8_q4096.exr,bun,90,184,0.87,0.8
armadillo_e30_d150_a0.87_g0.8_q4096.exr,armadillo,30,150,0.87,0.8
armadillo_e0_d36_a0.59_g0.0_q4096.exr,armadillo,0,36,0.59,0.0
cube_e90_d36_a0.39_g0.0_q4096.exr,cube,90,36,0.39,0.0
cube_e90_d184_a0.39_g0.6_q4096.exr,cube,90,184,0.39,0.6
bun_e0_d44_a0.39_g0.4_q4096.exr,bun,0,44,0.39,0.4
buddha_e60_d36_a0.59_g0.8_q4096.exr,buddha,60,36,0.59,0.8
star_smooth_e90_d44_a0.87_g0.8_q4096.exr,star_smooth,90,44,0.87,0.8
cube_e30_d100_a0.74_g0.2_q4096.exr,cube,30,100,0.74,0.2
dragon_e0_d100_a0.87_g0.8_q4096.exr,dragon,0,100,0.87,0.8
bun_e90_d36_a0.39_g0.8_q4096.exr,bun,90,36,0.39,0.8
bun_e60_d44_a0.95_g0.0_q4096.exr,bun,60,44,0.95,0.0
dragon_e0_d36_a0.74_g0.4_q4096.exr,dragon,0,36,0.74,0.4
star_smooth_e30_d36_a0.59_g0.2_q4096.exr,star_smooth,30,36,0.59,0.2
star_smooth_e0_d184_a0.39_g0.8_q4096.exr,star_smooth,0,184,0.39,0.8
buddha_e60_d54_a0.39_g0.0_q4096.exr,buddha,60,54,0.39,0.0
dragon_e90_d150_a0.39_g0.2_q4096.exr,dragon,90,150,0.39,0.2
armadillo_e30_d276_a0.39_g0.8_q4096.exr,armadillo,30,276,0.39,0.8
star_smooth_e60_d30_a0.74_g0.2_q4096.exr,star_smooth,60,30,0.74,0.2
star_smooth_e90_d184_a0.87_g0.2_q4096.exr,star_smooth,90,184,0.87,0.2
buddha_e30_d30_a0.87_g0.8_q4096.exr,buddha,30,30,0.87,0.8
armadillo_e60_d44_a0.39_g0.6_q4096.exr,armadillo,60,44,0.39,0.6
armadillo_e0_d150_a0.87_g0.6_q4096.exr,armadillo,0,150,0.87,0.6
star_smooth_e60_d82_a0.59_g0.2_q4096.exr,star_smooth,60,82,0.59,0.2
cube_e90_d184_a0.39_g0.8_q4096.exr,cube,90,184,0.39,0.8
armadillo_e0_d100_a0.39_g0.0_q4096.exr,armadillo,0,100,0.39,0.0
buddha_e30_d36_a0.87_g0.8_q4096.exr,buddha,30,36,0.87,0.8
buddha_e0_d67_a0.39_g0.0_q4096.exr,buddha,0,67,0.39,0.0
dragon_e90_d36_a0.59_g0.4_q4096.exr,dragon,90,36,0.59,0.4
armadillo_e60_d54_a0.74_g0.4_q4096.exr,armadillo,60,54,0.74,0.4
bun_e60_d36_a0.95_g0.0_q4096.exr,bun,60,36,0.95,0.0
dragon_e60_d122_a0.87_g0.4_q4096.exr,dragon,60,122,0.87,0.4
armadillo_e60_d54_a0.87_g0.6_q4096.exr,armadillo,60,54,0.87,0.6
buddha_e0_d67_a0.39_g0.6_q4096.exr,buddha,0,67,0.39,0.6
bun_e90_d54_a0.95_g0.2_q4096.exr,bun,90,54,0.95,0.2
star_smooth_e90_d150_a0.39_g0.0_q4096.exr,star_smooth,90,150,0.39,0.0
cube_e60_d36_a0.95_g0.2_q4096.exr,cube,60,36,0.95,0.2
armadillo_e60_d82_a0.87_g0.0_q4096.exr,armadillo,60,82,0.87,0.0
armadillo_e90_d276_a0.39_g0.6_q4096.exr,armadillo,90,276,0.39,0.6
dragon_e90_d54_a0.39_g0.8_q4096.exr,dragon,90,54,0.39,0.8
bun_e0_d82_a0.87_g0.4_q4096.exr,bun,0,82,0.87,0.4
buddha_e90_d150_a0.39_g0.8_q4096.exr,buddha,90,150,0.39,0.8
dragon_e30_d276_a0.74_g0.2_q4096.exr,dragon,30,276,0.74,0.2
cube_e60_d100_a0.95_g0.0_q4096.exr,cube,60,100,0.95,0.0
cube_e90_d82_a0.39_g0.2_q4096.exr,cube,90,82,0.39,0.2
buddha_e60_d54_a0.87_g0.0_q4096.exr,buddha,60,54,0.87,0.0
armadillo_e0_d225_a0.74_g0.4_q4096.exr,armadillo,0,225,0.74,0.4
armadillo_e30_d54_a0.59_g0.6_q4096.exr,armadillo,30,54,0.59,0.6
armadillo_e0_d150_a0.39_g0.2_q4096.exr,armadillo,0,150,0.39,0.2
star_smooth_e0_d100_a0.39_g0.0_q4096.exr,star_smooth,0,100,0.39,0.0
buddha_e30_d67_a0.59_g0.6_q4096.exr,buddha,30,67,0.59,0.6
armadillo_e90_d30_a0.74_g0.2_q4096.exr,armadillo,90,30,0.74,0.2
buddha_e60_d100_a0.74_g0.8_q4096.exr,buddha,60,100,0.74,0.8
dragon_e30_d184_a0.59_g0.4_q4096.exr,dragon,30,184,0.59,0.4
star_smooth_e0_d44_a0.95_g0.2_q4096.exr,star_smooth,0,44,0.95,0.2
buddha_e0_d36_a0.59_g0.2_q4096.exr,buddha,0,36,0.59,0.2
dragon_e90_d225_a0.95_g0.0_q4096.exr,dragon,90,225,0.95,0.0
cube_e0_d100_a0.87_g0.8_q4096.exr,cube,0,100,0.87,0.8
buddha_e30_d67_a0.95_g0.6_q4096.exr,buddha,30,67,0.95,0.6
buddha_e0_d82_a0.39_g0.4_q4096.exr,buddha,0,82,0.39,0.4
bun_e30_d82_a0.59_g0.6_q4096.exr,bun,30,82,0.59,0.6
cube_e30_d82_a0.87_g0.4_q4096.exr,cube,30,82,0.87,0.4
bun_e30_d44_a0.95_g0.8_q4096.exr,bun,30,44,0.95,0.8
bun_e0_d67_a0.95_g0.0_q4096.exr,bun,0,67,0.95,0.0
cube_e30_d100_a0.87_g0.4_q4096.exr,cube,30,100,0.87,0.4
dragon_e60_d30_a0.74_g0.6_q4096.exr,dragon,60,30,0.74,0.6
buddha_e60_d36_a0.39_g0.6_q4096.exr,buddha,60,36,0.39,0.6
cube_e0_d150_a0.87_g0.2_q4096.exr,cube,0,150,0.87,0.2
armadillo_e90_d122_a0.74_g0.6_q4096.exr,armadillo,90,122,0.74,0.6
star_smooth_e90_d100_a0.95_g0.2_q4096.exr,star_smooth,90,100,0.95,0.2
dragon_e0_d225_a0.87_g0.4_q4096.exr,dragon,0,225,0.87,0.4
dragon_e60_d276_a0.87_g0.0_q4096.exr,dragon,60,276,0.87,0.0
cube_e60_d82_a0.74_g0.0_q4096.exr,cube,60,82,0.74,0.0
star_smooth_e30_d54_a0.74_g0.0_q4096.exr,star_smooth,30,54,0.74,0.0
star_smooth_e60_d82_a0.59_g0.6_q4096.exr,star_smooth,60,82,0.59,0.6
cube_e90_d36_a0.74_g0.6_q4096.exr,cube,90,36,0.74,0.6
dragon_e90_d44_a0.39_g0.8_q4096.exr,dragon,90,44,0.39,0.8
dragon_e90_d54_a0.74_g0.4_q4096.exr,dragon,90,54,0.74,0.4
star_smooth_e90_d44_a0.87_g0.4_q4096.exr,star_smooth,90,44,0.87,0.4
star_smooth_e30_d276_a0.87_g0.6_q4096.exr,star_smooth,30,276,0.87,0.6
armadillo_e0_d276_a0.74_g0.4_q4096.exr,armadillo,0,276,0.74,0.4
bun_e60_d30_a0.74_g0.4_q4096.exr,bun,60,30,0.74,0.4
cube_e60_d82_a0.95_g0.6_q4096.exr,cube,60,82,0.95,0.6
armadillo_e30_d225_a0.39_g0.4_q4096.exr,armadillo,30,225,0.39,0.4
buddha_e0_d54_a0.39_g0.4_q4096.exr,buddha,0,54,0.39,0.4
bun_e60_d82_a0.59_g0.8_q4096.exr,bun,60,82,0.59,0.8
star_smooth_e60_d30_a0.87_g0.0_q4096.exr,star_smooth,60,30,0.87,0.0
cube_e60_d276_a0.59_g0.8_q4096.exr,cube,60,276,0.59,0.8
bun_e60_d184_a0.59_g0.0_q4096.exr,bun,60,184,0.59,0.0
armadillo_e90_d36_a0.74_g0.6_q4096.exr,armadillo,90,36,0.74,0.6
dragon_e0_d276_a0.87_g0.0_q4096.exr,dragon,0,276,0.87,0.0
bun_e30_d67_a0.87_g0.0_q4096.exr,bun,30,67,0.87,0.0
armadillo_e60_d82_a0.95_g0.8_q4096.exr,armadillo,60,82,0.95,0.8
cube_e60_d44_a0.95_g0.4_q4096.exr,cube,60,44,0.95,0.4
dragon_e60_d82_a0.87_g0.8_q4096.exr,dragon,60,82,0.87,0.8
dragon_e30_d184_a0.74_g0.8_q4096.exr,dragon,30,184,0.74,0.8
buddha_e30_d67_a0.59_g0.0_q4096.exr,buddha,30,67,0.59,0.0
star_smooth_e0_d100_a0.74_g0.0_q4096.exr,star_smooth,0,100,0.74,0.0
buddha_e60_d100_a0.59_g0.2_q4096.exr,buddha,60,100,0.59,0.2
star_smooth_e0_d44_a0.95_g0.0_q4096.exr,star_smooth,0,44,0.95,0.0
star_smooth_e30_d122_a0.39_g0.8_q4096.exr,star_smooth,30,122,0.39,0.8
bun_e0_d225_a0.39_g0.8_q4096.exr,bun,0,225,0.39,0.8
star_smooth_e30_d67_a0.87_g0.0_q4096.exr,star_smooth,30,67,0.87,0.0
cube_e90_d36_a0.59_g0.6_q4096.exr,cube,90,36,0.59,0.6
dragon_e60_d184_a0.95_g0.8_q4096.exr,dragon,60,184,0.95,0.8
cube_e0_d82_a0.59_g0.8_q4096.exr,cube,0,82,0.59,0.8
armadillo_e90_d225_a0.59_g0.8_q4096.exr,armadillo,90,225,0.59,0.8
armadillo_e30_d184_a0.87_g0.0_q4096.exr,armadillo,30,184,0.87,0.0
bun_e60_d54_a0.95_g0.8_q4096.exr,bun,60,54,0.95,0.8
cube_e30_d225_a0.59_g0.2_q4096.exr,cube,30,225,0.59,0.2
armadillo_e30_d54_a0.95_g0.6_q4096.exr,armadillo,30,54,0.95,0.6
cube_e60_d54_a0.87_g0.2_q4096.exr,cube,60,54,0.87,0.2
cube_e0_d30_a0.95_g0.8_q4096.exr,cube,0,30,0.95,0.8
dragon_e30_d44_a0.39_g0.6_q4096.exr,dragon,30,44,0.39,0.6
buddha_e30_d150_a0.74_g0.8_q4096.exr,buddha,30,150,0.74,0.8
star_smooth_e90_d150_a0.87_g0.2_q4096.exr,star_smooth,90,150,0.87,0.2
buddha_e0_d225_a0.87_g0.4_q4096.exr,buddha,0,225,0.87,0.4
dragon_e30_d184_a0.74_g0.0_q4096.exr,dragon,30,184,0.74,0.0
cube_e60_d30_a0.87_g0.4_q4096.exr,cube,60,30,0.87,0.4
armadillo_e90_d122_a0.59_g0.6_q4096.exr,armadillo,90,122,0.59,0.6
cube_e30_d82_a0.39_g0.8_q4096.exr,cube,30,82,0.39,0.8
cube_e30_d150_a0.74_g0.6_q4096.exr,cube,30,150,0.74,0.6
cube_e0_d225_a0.74_g0.4_q4096.exr,cube,0,225,0.74,0.4
buddha_e90_d150_a0.39_g0.2_q4096.exr,buddha,90,150,0.39,0.2
dragon_e0_d122_a0.95_g0.8_q4096.exr,dragon,0,122,0.95,0.8
buddha_e0_d82_a0.87_g0.4_q4096.exr,buddha,0,82,0.87,0.4
cube_e0_d30_a0.95_g0.0_q4096.exr,cube,0,30,0.95,0.0
dragon_e60_d30_a0.87_g0.8_q4096.exr,dragon,60,30,0.87,0.8
star_smooth_e90_d44_a0.74_g0.6_q4096.exr,star_smooth,90,44,0.74,0.6
armadillo_e90_d67_a0.95_g0.8_q4096.exr,armadillo,90,67,0.95,0.8
bun_e90_d184_a0.74_g0.0_q4096.exr,bun,90,184,0.74,0.0
dragon_e0_d44_a0.59_g0.2_q4096.exr,dragon,0,44,0.59,0.2
bun_e30_d82_a0.39_g0.6_q4096.exr,bun,30,82,0.39,0.6
armadillo_e90_d67_a0.74_g0.6_q4096.exr,armadillo,90,67,0.74,0.6
buddha_e0_d30_a0.59_g0.2_q4096.exr,buddha,0,30,0.59,0.2
armadillo_e30_d225_a0.39_g0.0_q4096.exr,armadillo,30,225,0.39,0.0
star_smooth_e60_d54_a0.87_g0.2_q4096.exr,star_smooth,60,54,0.87,0.2
star_smooth_e60_d150_a0.59_g0.4_q4096.exr,star_smooth,60,150,0.59,0.4
bun_e30_d225_a0.39_g0.0_q4096.exr,bun,30,225,0.39,0.0
dragon_e30_d36_a0.74_g0.4_q4096.exr,dragon,30,36,0.74,0.4
star_smooth_e60_d100_a0.74_g0.2_q4096.exr,star_smooth,60,100,0.74,0.2
cube_e0_d36_a0.39_g0.0_q4096.exr,cube,0,36,0.39,0.0
dragon_e60_d100_a0.39_g0.2_q4096.exr,dragon,60,100,0.39,0.2
dragon_e60_d122_a0.39_g0.4_q4096.exr,dragon,60,122,0.39,0.4
dragon_e90_d184_a0.59_g0.0_q4096.exr,dragon,90,184,0.59,0.0
star_smooth_e30_d30_a0.87_g0.2_q4096.exr,star_smooth,30,30,0.87,0.2
armadillo_e0_d225_a0.87_g0.0_q4096.exr,armadillo,0,225,0.87,0.0
buddha_e90_d30_a0.59_g0.8_q4096.exr,buddha,90,30,0.59,0.8
dragon_e0_d67_a0.39_g0.2_q4096.exr,dragon,0,67,0.39,0.2
star_smooth_e0_d184_a0.95_g0.8_q4096.exr,star_smooth,0,184,0.95,0.8
star_smooth_e60_d150_a0.95_g0.6_q4096.exr,star_smooth,60,150,0.95,0.6
star_smooth_e30_d100_a0.74_g0.0_q4096.exr,star_smooth,30,100,0.74,0.0
dragon_e0_d150_a0.87_g0.6_q4096.exr,dragon,0,150,0.87,0.6
buddha_e60_d150_a0.95_g0.2_q4096.exr,buddha,60,150,0.95,0.2
dragon_e90_d150_a0.59_g0.0_q4096.exr,dragon,90,150,0.59,0.0
dragon_e90_d30_a0.74_g0.0_q4096.exr,dragon,90,30,0.74,0.0
star_smooth_e90_d276_a0.74_g0.2_q4096.exr,star_smooth,90,276,0.74,0.2
dragon_e30_d67_a0.87_g0.8_q4096.exr,dragon,30,67,0.87,0.8
star_smooth_e60_d100_a0.39_g0.2_q4096.exr,star_smooth,60,100,0.39,0.2
armadillo_e90_d276_a0.95_g0.0_q4096.exr,armadillo,90,276,0.95,0.0
cube_e90_d44_a0.39_g0.6_q4096.exr,cube,90,44,0.39,0.6
buddha_e0_d150_a0.95_g0.2_q4096.exr,buddha,0,150,0.95,0.2
dragon_e0_d150_a0.59_g0.2_q4096.exr,dragon,0,150,0.59,0.2
armadillo_e0_d100_a0.74_g0.6_q4096.exr,armadillo,0,100,0.74,0.6
dragon_e0_d184_a0.39_g0.2_q4096.exr,dragon,0,184,0.39,0.2
cube_e0_d100_a0.74_g0.2_q4096.exr,cube,0,100,0.74,0.2
cube_e90_d150_a0.39_g0.2_q4096.exr,cube,90,150,0.39,0.2
dragon_e30_d122_a0.87_g0.0_q4096.exr,dragon,30,122,0.87,0.0
bun_e30_d30_a0.95_g0.2_q4096.exr,bun,30,30,0.95,0.2
bun_e60_d184_a0.59_g0.6_q4096.exr,bun,60,184,0.59,0.6
armadillo_e0_d36_a0.74_g0.0_q4096.exr,armadillo,0,36,0.74,0.0
buddha_e60_d122_a0.39_g0.4_q4096.exr,buddha,60,122,0.39,0.4
star_smooth_e0_d36_a0.39_g0.8_q4096.exr,star_smooth,0,36,0.39,0.8
dragon_e0_d150_a0.95_g0.2_q4096.exr,dragon,0,150,0.95,0.2
cube_e0_d100_a0.95_g0.8_q4096.exr,cube,0,100,0.95,0.8
bun_e0_d54_a0.59_g0.0_q4096.exr,bun,0,54,0.59,0.0
dragon_e60_d225_a0.95_g0.4_q4096.exr,dragon,60,225,0.95,0.4
armadillo_e30_d184_a0.39_g0.8_q4096.exr,armadillo,30,184,0.39,0.8
bun_e30_d122_a0.39_g0.2_q4096.exr,bun,30,122,0.39,0.2
dragon_e0_d54_a0.74_g0.8_q4096.exr,dragon,0,54,0.74,0.8
dragon_e90_d82_a0.87_g0.6_q4096.exr,dragon,90,82,0.87,0.6
dragon_e0_d44_a0.74_g0.0_q4096.exr,dragon,0,44,0.74,0.0
bun_e60_d67_a0.39_g0.8_q4096.exr,bun,60,67,0.39,0.8
buddha_e30_d82_a0.74_g0.8_q4096.exr,buddha,30,82,0.74,0.8
armadillo_e60_d36_a0.95_g0.0_q4096.exr,armadillo,60,36,0.95,0.0
star_smooth_e30_d122_a0.87_g0.6_q4096.exr,star_smooth,30,122,0.87,0.6
armadillo_e60_d225_a0.87_g0.6_q4096.exr,armadillo,60,225,0.87,0.6
buddha_e0_d82_a0.87_g0.2_q4096.exr,buddha,0,82,0.87,0.2
star_smooth_e0_d150_a0.87_g0.8_q4096.exr,star_smooth,0,150,0.87,0.8
cube_e90_d184_a0.95_g0.6_q4096.exr,cube,90,184,0.95,0.6
cube_e0_d122_a0.95_g0.0_q4096.exr,cube,0,122,0.95,0.0
armadillo_e90_d100_a0.95_g0.0_q4096.exr,armadillo,90,100,0.95,0.0
bun_e90_d184_a0.39_g0.6_q4096.exr,bun,90,184,0.39,0.6
star_smooth_e0_d67_a0.87_g0.6_q4096.exr,star_smooth,0,67,0.87,0.6
cube_e30_d225_a0.74_g0.6_q4096.exr,cube,30,225,0.74,0.6
cube_e30_d100_a0.95_g0.2_q4096.exr,cube,30,100,0.95,0.2
cube_e90_d225_a0.74_g0.6_q4096.exr,cube,90,225,0.74,0.6
cube_e90_d54_a0.87_g0.4_q4096.exr,cube,90,54,0.87,0.4
buddha_e90_d30_a0.95_g0.2_q4096.exr,buddha,90,30,0.95,0.2
cube_e90_d36_a0.39_g0.2_q4096.exr,cube,90,36,0.39,0.2
armadillo_e30_d82_a0.39_g0.4_q4096.exr,armadillo,30,82,0.39,0.4
bun_e30_d67_a0.39_g0.8_q4096.exr,bun,30,67,0.39,0.8
armadillo_e90_d100_a0.74_g0.0_q4096.exr,armadillo,90,100,0.74,0.0
bun_e30_d44_a0.39_g0.6_q4096.exr,bun,30,44,0.39,0.6
star_smooth_e30_d36_a0.87_g0.8_q4096.exr,star_smooth,30,36,0.87,0.8
star_smooth_e30_d276_a0.74_g0.4_q4096.exr,star_smooth,30,276,0.74,0.4
cube_e0_d100_a0.74_g0.8_q4096.exr,cube,0,100,0.74,0.8
star_smooth_e90_d44_a0.39_g0.4_q4096.exr,star_smooth,90,44,0.39,0.4
armadillo_e90_d225_a0.87_g0.4_q4096.exr,armadillo,90,225,0.87,0.4
bun_e30_d36_a0.74_g0.8_q4096.exr,bun,30,36,0.74,0.8
dragon_e30_d122_a0.74_g0.2_q4096.exr,dragon,30,122,0.74,0.2
cube_e90_d122_a0.95_g0.2_q4096.exr,cube,90,122,0.95,0.2
buddha_e30_d184_a0.39_g0.2_q4096.exr,buddha,30,184,0.39,0.2
cube_e0_d122_a0.74_g0.6_q4096.exr,cube,0,122,0.74,0.6
dragon_e0_d122_a0.59_g0.4_q4096.exr,dragon,0,122,0.59,0.4
dragon_e30_d100_a0.95_g0.6_q4096.exr,dragon,30,100,0.95,0.6
armadillo_e60_d225_a0.74_g0.8_q4096.exr,armadillo,60,225,0.74,0.8
dragon_e0_d67_a0.74_g0.2_q4096.exr,dragon,0,67,0.74,0.2
buddha_e30_d30_a0.74_g0.2_q4096.exr,buddha,30,30,0.74,0.2
bun_e30_d67_a0.59_g0.8_q4096.exr,bun,30,67,0.59,0.8
armadillo_e30_d100_a0.59_g0.6_q4096.exr,armadillo,30,100,0.59,0.6
armadillo_e0_d44_a0.87_g0.2_q4096.exr,armadillo,0,44,0.87,0.2
star_smooth_e0_d150_a0.74_g0.2_q4096.exr,star_smooth,0,150,0.74,0.2
star_smooth_e0_d122_a0.87_g0.4_q4096.exr,star_smooth,0,122,0.87,0.4
dragon_e90_d225_a0.59_g0.0_q4096.exr,dragon,90,225,0.59,0.0
star_smooth_e60_d30_a0.39_g0.2_q4096.exr,star_smooth,60,30,0.39,0.2
cube_e90_d276_a0.39_g0.2_q4096.exr,cube,90,276,0.39,0.2
armadillo_e90_d150_a0.87_g0.8_q4096.exr,armadillo,90,150,0.87,0.8
buddha_e90_d36_a0.95_g0.4_q4096.exr,buddha,90,36,0.95,0.4
dragon_e60_d100_a0.87_g0.0_q4096.exr,dragon,60,100,0.87,0.0
armadillo_e90_d100_a0.87_g0.0_q4096.exr,armadillo,90,100,0.87,0.0
cube_e60_d36_a0.95_g0.6_q4096.exr,cube,60,36,0.95,0.6
bun_e90_d100_a0.59_g0.6_q4096.exr,bun,90,100,0.59,0.6
buddha_e30_d36_a0.74_g0.0_q4096.exr,buddha,30,36,0.74,0.0
buddha_e30_d30_a0.59_g0.8_q4096.exr,buddha,30,30,0.59,0.8
bun_e0_d82_a0.39_g0.4_q4096.exr,bun,0,82,0.39,0.4
cube_e60_d100_a0.74_g0.2_q4096.exr,cube,60,100,0.74,0.2
bun_e30_d67_a0.87_g0.2_q4096.exr,bun,30,67,0.87,0.2
buddha_e90_d184_a0.95_g0.4_q4096.exr,buddha,90,184,0.95,0.4
star_smooth_e60_d100_a0.95_g0.0_q4096.exr,star_smooth,60,100,0.95,0.0
buddha_e0_d150_a0.95_g0.8_q4096.exr,buddha,0,150,0.95,0.8
dragon_e90_d82_a0.74_g0.2_q4096.exr,dragon,90,82,0.74,0.2
bun_e0_d122_a0.74_g0.2_q4096.exr,bun,0,122,0.74,0.2
armadillo_e90_d36_a0.74_g0.8_q4096.exr,armadillo,90,36,0.74,0.8
bun_e0_d67_a0.39_g0.6_q4096.exr,bun,0,67,0.39,0.6
cube_e0_d100_a0.59_g0.6_q4096.exr,cube,0,100,0.59,0.6
star_smooth_e60_d54_a0.39_g0.8_q4096.exr,star_smooth,60,54,0.39,0.8
bun_e90_d44_a0.95_g0.6_q4096.exr,bun,90,44,0.95,0.6
star_smooth_e90_d82_a0.95_g0.4_q4096.exr,star_smooth,90,82,0.95,0.4
armadillo_e90_d36_a0.87_g0.6_q4096.exr,armadillo,90,36,0.87,0.6
armadillo_e90_d225_a0.74_g0.2_q4096.exr,armadillo,90,225,0.74,0.2
buddha_e0_d122_a0.95_g0.6_q4096.exr,buddha,0,122,0.95,0.6
star_smooth_e0_d225_a0.87_g0.0_q4096.exr,star_smooth,0,225,0.87,0.0
bun_e30_d225_a0.59_g0.0_q4096.exr,bun,30,225,0.59,0.0
star_smooth_e60_d225_a0.95_g0.8_q4096.exr,star_smooth,60,225,0.95,0.8
armadillo_e30_d67_a0.87_g0.8_q4096.exr,armadillo,30,67,0.87,0.8
bun_e30_d276_a0.59_g0.8_q4096.exr,bun,30,276,0.59,0.8
armadillo_e90_d44_a0.95_g0.4_q4096.exr,armadillo,90,44,0.95,0.4
armadillo_e0_d30_a0.95_g0.2_q4096.exr,armadillo,0,30,0.95,0.2
armadillo_e30_d276_a0.95_g0.8_q4096.exr,armadillo,30,276,0.95,0.8
bun_e90_d30_a0.95_g0.6_q4096.exr,bun,90,30,0.95,0.6
bun_e90_d44_a0.87_g0.6_q4096.exr,bun,90,44,0.87,0.6
dragon_e60_d225_a0.74_g0.8_q4096.exr,dragon,60,225,0.74,0.8
armadillo_e60_d67_a0.39_g0.4_q4096.exr,armadillo,60,67,0.39,0.4
dragon_e30_d184_a0.87_g0.0_q4096.exr,dragon,30,184,0.87,0.0
buddha_e90_d54_a0.87_g0.8_q4096.exr,buddha,90,54,0.87,0.8
buddha_e90_d67_a0.87_g0.8_q4096.exr,buddha,90,67,0.87,0.8
dragon_e60_d67_a0.95_g0.2_q4096.exr,dragon,60,67,0.95,0.2
armadillo_e90_d30_a0.74_g0.8_q4096.exr,armadillo,90,30,0.74,0.8
dragon_e60_d225_a0.87_g0.6_q4096.exr,dragon,60,225,0.87,0.6
buddha_e0_d36_a0.59_g0.6_q4096.exr,buddha,0,36,0.59,0.6
armadillo_e90_d82_a0.87_g0.0_q4096.exr,armadillo,90,82,0.87,0.0
armadillo_e90_d30_a0.59_g0.0_q4096.exr,armadillo,90,30,0.59,0.0
dragon_e0_d184_a0.74_g0.2_q4096.exr,dragon,0,184,0.74,0.2
cube_e60_d184_a0.74_g0.6_q4096.exr,cube,60,184,0.74,0.6
star_smooth_e30_d82_a0.59_g0.4_q4096.exr,star_smooth,30,82,0.59,0.4
buddha_e90_d276_a0.95_g0.0_q4096.exr,buddha,90,276,0.95,0.0
star_smooth_e60_d54_a0.59_g0.0_q4096.exr,star_smooth,60,54,0.59,0.0
cube_e60_d276_a0.95_g0.2_q4096.exr,cube,60,276,0.95,0.2
star_smooth_e60_d100_a0.95_g0.8_q4096.exr,star_smooth,60,100,0.95,0.8
dragon_e60_d36_a0.87_g0.0_q4096.exr,dragon,60,36,0.87,0.0
bun_e30_d184_a0.74_g0.0_q4096.exr,bun,30,184,0.74,0.0
dragon_e60_d184_a0.74_g0.2_q4096.exr,dragon,60,184,0.74,0.2
buddha_e0_d225_a0.39_g0.4_q4096.exr,buddha,0,225,0.39,0.4
cube_e90_d30_a0.39_g0.2_q4096.exr,cube,90,30,0.39,0.2
star_smooth_e90_d225_a0.59_g0.4_q4096.exr,star_smooth,90,225,0.59,0.4
armadillo_e0_d184_a0.74_g0.8_q4096.exr,armadillo,0,184,0.74,0.8
buddha_e30_d225_a0.95_g0.0_q4096.exr,buddha,30,225,0.95,0.0
bun_e90_d276_a0.95_g0.8_q4096.exr,bun,90,276,0.95,0.8
cube_e30_d30_a0.74_g0.6_q4096.exr,cube,30,30,0.74,0.6
dragon_e90_d44_a0.39_g0.0_q4096.exr,dragon,90,44,0.39,0.0
bun_e60_d184_a0.74_g0.8_q4096.exr,bun,60,184,0.74,0.8
buddha_e90_d184_a0.39_g0.0_q4096.exr,buddha,90,184,0.39,0.0
star_smooth_e60_d150_a0.39_g0.2_q4096.exr,star_smooth,60,150,0.39,0.2
dragon_e30_d30_a0.59_g0.6_q4096.exr,dragon,30,30,0.59,0.6
buddha_e30_d54_a0.87_g0.4_q4096.exr,buddha,30,54,0.87,0.4
armadillo_e60_d30_a0.87_g0.6_q4096.exr,armadillo,60,30,0.87,0.6
armadillo_e30_d122_a0.39_g0.0_q4096.exr,armadillo,30,122,0.39,0.0
bun_e30_d122_a0.74_g0.6_q4096.exr,bun,30,122,0.74,0.6
buddha_e30_d225_a0.74_g0.6_q4096.exr,buddha,30,225,0.74,0.6
bun_e90_d225_a0.87_g0.0_q4096.exr,bun,90,225,0.87,0.0
bun_e0_d225_a0.59_g0.0_q4096.exr,bun,0,225,0.59,0.0
buddha_e0_d276_a0.39_g0.4_q4096.exr,buddha,0,276,0.39,0.4
